task_id,task_name,sample_window_id,window_name,training_role,package_tier,package_usage_mode,task_usage_tier,allow_in_task_fit,allow_as_task_reference,allow_as_task_holdout,task_sample_weight,strict_task_usage_rule,strict_supervisor_conclusion
ca_task_004,capital_confirmation_task,ca_train_window_003,jan_2026_overheat_turning_point,overheat_negative,primary_fit,core_negative_fit,fit_primary,1,0,0,1.0,Use as clean negative fit sample under the current strict task boundary.,This is already a strong negative sample because board-turn semantics are explicit.
ca_task_005,structure_gate_task,ca_train_window_003,jan_2026_overheat_turning_point,overheat_negative,primary_fit,core_negative_fit,fit_primary,1,0,0,1.0,Use as clean negative fit sample under the current strict task boundary.,This is already a strong negative sample because board-turn semantics are explicit.
ca_task_004,capital_confirmation_task,ca_train_window_004,jan_2026_real_industrial_anchor_check,real_anchor_but_not_immediate_tradability,auxiliary_fit,negative_support_only,fit_auxiliary,1,0,0,0.6,Allow only as negative-support sample for capital and structure tasks; real anchor does not imply tradability.,"Window 004 is now released as a negative-support sample: the industrial anchor is real and the target name did rebound locally, but the board stayed misaligned, structure remained far below prior highs, volume did not expand enough, and net flow stayed negative. It must train true-logic-but-not-tradable misalignment, not positive continuation."
ca_task_005,structure_gate_task,ca_train_window_004,jan_2026_real_industrial_anchor_check,real_anchor_but_not_immediate_tradability,auxiliary_fit,negative_support_only,fit_auxiliary,1,0,0,0.6,Allow only as negative-support sample for capital and structure tasks; real anchor does not imply tradability.,"Window 004 is now released as a negative-support sample: the industrial anchor is real and the target name did rebound locally, but the board stayed misaligned, structure remained far below prior highs, volume did not expand enough, and net flow stayed negative. It must train true-logic-but-not-tradable misalignment, not positive continuation."
ca_task_002,new_leg_or_old_echo_task,ca_train_window_005,mar_2026_satellite_internet_reexpansion,logic_valid_board_misaligned_negative,primary_fit,core_negative_fit,fit_primary,1,0,0,1.0,Use as clean negative new-leg-vs-echo fit sample.,"Window 005 is now a clean anti-false-positive sample: the subtheme logic was real, but the target core did not confirm and the few strong names were only local outliers. This window is ready for negative-sample training."
ca_task_003,breadth_regime_task,ca_train_window_005,mar_2026_satellite_internet_reexpansion,logic_valid_board_misaligned_negative,primary_fit,core_negative_fit,fit_primary,1,0,0,1.0,Use as clean negative fit sample under the current strict task boundary.,"Window 005 is now a clean anti-false-positive sample: the subtheme logic was real, but the target core did not confirm and the few strong names were only local outliers. This window is ready for negative-sample training."
ca_task_004,capital_confirmation_task,ca_train_window_005,mar_2026_satellite_internet_reexpansion,logic_valid_board_misaligned_negative,primary_fit,core_negative_fit,fit_primary,1,0,0,1.0,Use as clean negative fit sample under the current strict task boundary.,"Window 005 is now a clean anti-false-positive sample: the subtheme logic was real, but the target core did not confirm and the few strong names were only local outliers. This window is ready for negative-sample training."
ca_task_005,structure_gate_task,ca_train_window_005,mar_2026_satellite_internet_reexpansion,logic_valid_board_misaligned_negative,primary_fit,core_negative_fit,fit_primary,1,0,0,1.0,Use as clean negative fit sample under the current strict task boundary.,"Window 005 is now a clean anti-false-positive sample: the subtheme logic was real, but the target core did not confirm and the few strong names were only local outliers. This window is ready for negative-sample training."
ca_task_002,new_leg_or_old_echo_task,ca_train_window_006,late_mar_2026_capital_mapping_diffusion,capital_mapping_diffusion_negative,auxiliary_fit,capital_mapping_negative_auxiliary_fit,fit_auxiliary,1,0,0,0.65,Allow only as auxiliary negative for capital-mapping misalignment and structure-gate tasks.,"Window 006 is now released as a negative sample: the capital-mapping narrative spread attention, but board alignment stayed unavailable, the main mapping names failed to establish a repricing leg, and the few stronger industrial responses remained local outliers. It must train concept-spread-without-structure."
ca_task_004,capital_confirmation_task,ca_train_window_006,late_mar_2026_capital_mapping_diffusion,capital_mapping_diffusion_negative,auxiliary_fit,capital_mapping_negative_auxiliary_fit,fit_auxiliary,1,0,0,0.65,Allow only as auxiliary negative for capital-mapping misalignment and structure-gate tasks.,"Window 006 is now released as a negative sample: the capital-mapping narrative spread attention, but board alignment stayed unavailable, the main mapping names failed to establish a repricing leg, and the few stronger industrial responses remained local outliers. It must train concept-spread-without-structure."
ca_task_005,structure_gate_task,ca_train_window_006,late_mar_2026_capital_mapping_diffusion,capital_mapping_diffusion_negative,auxiliary_fit,capital_mapping_negative_auxiliary_fit,fit_auxiliary,1,0,0,0.65,Allow only as auxiliary negative for capital-mapping misalignment and structure-gate tasks.,"Window 006 is now released as a negative sample: the capital-mapping narrative spread attention, but board alignment stayed unavailable, the main mapping names failed to establish a repricing leg, and the few stronger industrial responses remained local outliers. It must train concept-spread-without-structure."
ca_task_001,top_down_direction_task,ca_train_window_007,nov_2025_national_policy_preheat,policy_preheat_positive,reference_only,positive_context_reference_until_primary_archetype_unlocks,reference_only,0,1,0,0.0,Use only as positive-reference context; do not fit until the cleaner January ignition archetype unlocks.,Window 007 is now a usable positive policy-preheat sample with early-ignition characteristics: the policy anchor was followed by broad board confirmation across formal/industrial and emotion-mirror names. It still must remain below final training because window 002 is the cleaner January ignition archetype.
ca_task_006,policy_to_subtheme_diffusion_task,ca_train_window_007,nov_2025_national_policy_preheat,policy_preheat_positive,reference_only,positive_context_reference_until_primary_archetype_unlocks,reference_only,0,1,0,0.0,Use only as positive-reference context; do not fit until the cleaner January ignition archetype unlocks.,Window 007 is now a usable positive policy-preheat sample with early-ignition characteristics: the policy anchor was followed by broad board confirmation across formal/industrial and emotion-mirror names. It still must remain below final training because window 002 is the cleaner January ignition archetype.
ca_task_003,breadth_regime_task,ca_train_window_008,early_2026_meeting_and_forum_chain,conference_chain_diffusion_decay,reference_only,subwindow_learning_reference_only,reference_only,0,1,0,0.0,Use only for subwindow diffusion-decay reference; do not fit as a full durable conference-chain leg.,"Window 008 is now evidence-locked as a real December confirmation followed by a weak January continuation and a failed February followthrough. It should train diffusion decay, not a durable primary leg."
ca_task_006,policy_to_subtheme_diffusion_task,ca_train_window_008,early_2026_meeting_and_forum_chain,conference_chain_diffusion_decay,reference_only,subwindow_learning_reference_only,reference_only,0,1,0,0.0,Use only for subwindow diffusion-decay reference; do not fit as a full durable conference-chain leg.,"Window 008 is now evidence-locked as a real December confirmation followed by a weak January continuation and a failed February followthrough. It should train diffusion decay, not a durable primary leg."
ca_task_002,new_leg_or_old_echo_task,ca_train_window_009,external_narrative_space_compute_space_solar,cross_narrative_bridge,auxiliary_fit,bridge_specific_auxiliary_fit,fit_auxiliary,1,0,0,0.5,"Allow only as auxiliary bridge sample for novelty and diffusion tasks, not as durable main-leg fit.","Window 009 is now a usable bridge sample: the cross-narrative trigger was real and produced selective A-share responses, but the original mapping target failed and the strongest movers were mostly outliers. It should train bridge imagination versus true mapping confirmation, not durable main-leg persistence."
ca_task_006,policy_to_subtheme_diffusion_task,ca_train_window_009,external_narrative_space_compute_space_solar,cross_narrative_bridge,auxiliary_fit,bridge_specific_auxiliary_fit,fit_auxiliary,1,0,0,0.5,"Allow only as auxiliary bridge sample for novelty and diffusion tasks, not as durable main-leg fit.","Window 009 is now a usable bridge sample: the cross-narrative trigger was real and produced selective A-share responses, but the original mapping target failed and the strongest movers were mostly outliers. It should train bridge imagination versus true mapping confirmation, not durable main-leg persistence."
ca_task_004,capital_confirmation_task,ca_train_window_010,launch_and_test_milestone_windows,launch_milestone_negative,reference_only,launch_milestone_negative_reference_only,reference_only,0,1,0,0.0,Use only as launch-milestone negative reference; do not fit as a primary negative archetype.,This window is now evidence-backed but still not final until price response is aligned.
ca_task_005,structure_gate_task,ca_train_window_010,launch_and_test_milestone_windows,launch_milestone_negative,reference_only,launch_milestone_negative_reference_only,reference_only,0,1,0,0.0,Use only as launch-milestone negative reference; do not fit as a primary negative archetype.,This window is now evidence-backed but still not final until price response is aligned.
