symbol,name,group,subgroup,confidence,source_layer,reason
601399,国机重装,同走势镜像组,情绪强势镜像,base_retained,wave1,新浪涨停主升浪名单中出现。
603698,航天工程,同走势镜像组,工程建设/高辨识镜像,medium,wave2,名称与题材耦合度高，容易成为情绪镜像。
605123,派克新材,同走势镜像组,材料/高弹性镜像,base_retained,wave1,新浪与东方财富名单中出现。
002202,金风科技,概念助推组,参股蓝箭航天/资本映射,base_retained,wave1,东方财富和社区汇总都指向其为蓝箭航天重要股权关联方。
002471,中超控股,概念助推组,主题扩散助推/高弹性,base_retained,wave1,多篇盘面与资金流报道把它列为商业航天概念主力净流入和强势涨停代表，更像A股主题助推主力。
002565,顺灏股份,概念助推组,太空算力/概念强弹性,base_retained,wave1,同花顺与新浪多次作为强势概念股提及。
600783,鲁信创投,概念助推组,参股蓝箭航天/资本映射,base_retained,wave1,东方财富、新浪、社区都把它列为典型商业航天助推主力。
603131,上海沪工,概念助推组,卫星制造/概念助推,medium,wave2,A股卫星制造与商业航天老题材高弹性标的。
603601,再升科技,概念助推组,航天保温材料/概念弹性,base_retained,wave1,具备真实航天材料和SpaceX供应逻辑，但公开资料显示当前营收仍非商业航天主导，更像高价值概念助推。
000738,航发控制,正式组,核心控制/稳定支撑,base_retained,wave1,当前本地 snapshot 已将其识别为商业航天/航天航空交叉中的稳定核心支撑。
002085,万丰奥威,正式组,低空/飞行器平台龙头,base_retained,wave1,当前本地 snapshot 已将其识别为商业航天/航空交叉中的液态主驱动之一，必须进入正式组。
002465,海格通信,正式组,通信导航配套,base_retained,wave1,近期ETF持仓和板块强势名单高频出现。
003009,中天火箭,正式组,火箭细分龙头,base_retained,wave1,行业评论反复归入高纯度商业航天链。
300045,华力创通,正式组,卫星导航/通信配套,base_retained,wave1,ETF与热点报道中多次出现。
300342,天银机电,正式组,卫星/航天配套,base_retained,wave1,ETF近期强势持仓之一。
600118,中国卫星,正式组,卫星整机/核心龙头,base_retained,wave1,多源报道反复作为商业航天和卫星制造核心龙头出现。
600879,航天电子,正式组,核心配套,base_retained,wave1,ETF持仓与热点名单反复出现，属于主驱动链条。
601698,中国卫通,正式组,卫星运营/核心龙头,base_retained,wave1,板块高辨识龙头，概念过热时也被监管风险提示。
688066,航天宏图,正式组,卫星应用/遥感服务,base_retained,wave1,多篇行业评论列作下游运营服务龙头。
688523,航天环宇,正式组,卫星/航天器配套,base_retained,wave1,近期活跃且在ETF/热点报道中持续出现。
688568,中科星图,正式组,卫星数据应用,base_retained,wave1,近期盘中强势名单高频出现。
